,ticker,data,abertura,maximo,minimo,medio,fechamento,volume
39,RNEW4,2023-06-01,1.51,1.6,1.5,1.53,1.59,143771.0
40,RNEW4,2023-06-02,1.59,1.62,1.54,1.58,1.59,394580.0
41,RNEW4,2023-06-05,1.61,1.61,1.54,1.55,1.54,137294.0
42,RNEW4,2023-06-06,1.55,1.55,1.49,1.51,1.5,264591.0
43,RNEW4,2023-06-07,1.51,1.54,1.48,1.5,1.52,442410.0
44,RNEW4,2023-06-09,1.52,1.53,1.51,1.51,1.52,68089.0
45,RNEW4,2023-06-12,1.54,1.56,1.5,1.52,1.5,156442.0
46,RNEW4,2023-06-13,1.52,1.55,1.5,1.51,1.51,159599.0
47,RNEW4,2023-06-14,1.53,1.54,1.5,1.52,1.53,127906.0
48,RNEW4,2023-06-15,1.53,1.59,1.52,1.54,1.59,145809.0
49,RNEW4,2023-06-16,1.58,1.65,1.54,1.57,1.61,241809.0
50,RNEW4,2023-06-19,1.6,1.62,1.54,1.57,1.55,222591.0
51,RNEW4,2023-06-20,1.58,1.59,1.54,1.55,1.57,157701.0
52,RNEW4,2023-06-21,1.54,1.77,1.54,1.68,1.67,1078872.0
53,RNEW4,2023-06-22,1.69,1.71,1.6,1.64,1.6,407011.0
54,RNEW4,2023-06-23,1.62,1.88,1.62,1.74,1.84,783111.0
55,RNEW4,2023-06-26,1.88,1.95,1.81,1.86,1.85,448914.0
56,RNEW4,2023-06-27,1.9,1.9,1.73,1.77,1.73,332621.0
57,RNEW4,2023-06-28,1.75,1.78,1.7,1.73,1.74,116492.0
58,RNEW4,2023-06-29,1.76,1.77,1.71,1.73,1.73,144865.0
59,RNEW4,2023-06-30,1.74,1.77,1.72,1.74,1.77,134885.0
